
Thread 1 is wrtting,900,564471300
Thread 1 is wrtting,500,835112800
Thread 1 is wrtting,500,969255800
Thread 1 is wrtting,400,1082578300
Thread 1 is wrtting,600,1758899400
Thread 1 is wrtting,500,1873470100
Thread 1 is wrtting,600,1975503300
Thread 1 is wrtting,600,2222803500
Thread 1 is wrtting,500,2459249100
Thread 1 is wrtting,500,2745792000
Thread 1 is wrtting,500,3296513000
Thread 1 is wrtting,500,3500474900
Thread 1 is wrtting,400,4425089700
Thread 1 is wrtting,400,4570838100
Thread 1 is wrtting,600,4792455600
Thread 1 is wrtting,100,5078416800
Thread 1 is wrtting,500,5224954600
Thread 1 is wrtting,500,5921254900
Thread 1 is wrtting,500,6137385700
Thread 1 is wrtting,500,6227538000
Thread 1 is wrtting,600,6527544400
Thread 1 is wrtting,300,6615671500
Thread 1 is wrtting,500,6793880300
Thread 1 is wrtting,500,7063693500
Thread 1 is wrtting,600,7499912300
Thread 1 is wrtting,600,7589223800
Thread 1 is wrtting,600,7763357800
Thread 1 is wrtting,600,8051162000
Thread 1 is wrtting,600,8513169900
Thread 1 is wrtting,600,9000206700
Thread 1 is wrtting,600,9699361200
Thread 1 is wrtting,300,9883154600
Thread 1 is wrtting,800,10389646700
Thread 1 is wrtting,400,11123372100
Thread 1 is wrtting,500,11567683200
Thread 1 is wrtting,700,11797463500
Thread 1 is wrtting,600,11998920500
Thread 1 is wrtting,200,12196946700
Thread 1 is wrtting,500,12468568800
Thread 1 is wrtting,500,12873228600
Thread 1 is wrtting,500,12982401500
Thread 1 is wrtting,500,13326605100
Thread 1 is wrtting,400,13416440000
Thread 1 is wrtting,500,13768953700
Thread 1 is wrtting,500,13875794800
Thread 1 is wrtting,500,14016631300
Thread 1 is wrtting,500,14265934000
Thread 1 is wrtting,600,14883090300
Thread 1 is wrtting,600,15038018300
Thread 1 is wrtting,700,15177996500
Thread 1 is wrtting,500,15265664700
Thread 1 is wrtting,500,15428891100
Thread 1 is wrtting,600,15487261200
Thread 1 is wrtting,500,15561860700
Thread 1 is wrtting,200,15755050200
Thread 1 is wrtting,400,15923677800
Thread 1 is wrtting,35929400,15954724800
Thread 1 is wrtting,400,15993325300
Thread 1 is wrtting,500,16074539300
Thread 1 is wrtting,400,16157193200
Thread 1 is wrtting,400,16211378100
Thread 1 is wrtting,500,16339242800
Thread 1 is wrtting,700,16576733100
Thread 1 is wrtting,400,16660313900
Thread 1 is wrtting,500,16718873200
Thread 1 is wrtting,900,17042308100
Thread 1 is wrtting,500,17145027900
Thread 1 is wrtting,500,17243863400
Thread 1 is wrtting,500,17395650200
Thread 1 is wrtting,500,17609226200
Thread 1 is wrtting,500,17646306200
Thread 1 is wrtting,700,17709135000
Thread 1 is wrtting,500,17895179100
Thread 1 is wrtting,400,17927750400
Thread 1 is wrtting,700,18039533900
Thread 1 is wrtting,600,18110226300
Thread 1 is wrtting,500,18230890100
Thread 1 is wrtting,500,18378894200
Thread 1 is wrtting,500,18488999800
Thread 1 is wrtting,400,18580731400
Thread 1 is wrtting,500,18711640900
Thread 1 is wrtting,600,18742963800
Thread 1 is wrtting,500,18894272100
Thread 1 is wrtting,500,19011424300
Thread 1 is wrtting,500,19166691700
Thread 1 is wrtting,600,19311937300
Thread 1 is wrtting,500,19253693900
Thread 1 is wrtting,600,19501227300
Thread 1 is wrtting,400,19831525800
Thread 1 is wrtting,600,19913324100
Thread 1 is wrtting,9900,20010601600
Thread 1 is wrtting,600,20020426600
Thread 1 is wrtting,300,20100701900
Thread 1 is wrtting,32400,20240817600
Thread 1 is wrtting,500,20397308400
Thread 1 is wrtting,600,20505801900
Thread 1 is wrtting,500,20712977800
Thread 1 is wrtting,500,20885085900
Thread 1 is wrtting,500,20928115900
Thread 1 is wrtting,500,20989970100
