
400,7586336200
300,7917942000
400,8549644200
500,8796768700
500,8884765800
500,8970616700
500,9092970600
400,9264920900
1400,9591419700
1300,9783529500
700,10143107500
400,10582623400
500,10628090100
400,10764958200
300,10824296500
400,10913586200
400,11004358900
400,11217711700
700,11304797600
400,11570176200
300,11812522000
500,11986365100
200,12143410100
300,12231369300
500,12345996800
300,12572961100
400,12788381200
400,12895557000
500,13258741000
400,13457389600
400,13577150800
400,13898593400
400,13990355200
500,14116474000
400,14200503100
300,14383503200
200,15135390400
500,15322351000
200,15923695700
200,16020782300
400,16105691100
500,16524412400
500,16612473900
200,16785234200
400,17015013400
300,17367314600
400,17621041700
300,17786746100
300,18006585100
600,18531884600
100,18951348100
400,19436802800
400,19604834200
400,19686891900
400,19944696600
400,20030213600
400,20115233300
400,20274955400
200,20466117100
400,20534397400
300,20659204200
400,20821636000
400,20909914600
500,21018807200
200,21101311900
300,21349795700
500,21647954000
300,21728918000
400,22139163600
600,22421953200
500,22794383700
200,23258500700
400,23540822900
400,23643906000
400,23725978200
600,23951562500
600,24033413300
300,24191057800
500,24324280800
100,24532293900
700,24654984700
200,24700509900
400,24896239300
300,24950623800
300,25014869400
100,25056721300
400,25106035700
500,25256292400
400,25311850200
100,25494505800
400,25612637100
300,25640618700
200,25774741500
600,25825962100
400,25949598000
400,26047917200
400,26075688100
400,26110769900
400,26148616200
400,26150570200
